0
"2025-01-07 09:00:40.674	176.37.121.xxx	N=1	B=KOAI000002	S=725036E069A7BEA2BBF7	V=1,2,3,7,8,22,23,24,31,32,33,38,39,40"
2025-01-07 09:00:42.899	127.0.0.xxx	N=2	B=YAMO000009	S=7840C3070E1C4221C5B5	V=37
"2025-01-07 09:00:50.915	94.100.208.xxx	N=3	B=MYAS000021	S=A7CDD1A22268F14772AF	V=7,39"
"2025-01-07 09:00:57.499	93.127.65.xxx	N=4	B=POOS000008	S=A4BCDF632159F4B2794B	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
2025-01-07 09:01:01.507	77.123.155.xxx	N=5	B=FLVV000032	S=FBEE00FFC0A643E7B8BD	V=5
"2025-01-07 09:01:12.562	193.109.8.xxx	N=6	B=VISO000015	S=B39219F13325C54C2942	V=5,7,13,18,23,25,26,28,35,37"
"2025-01-07 09:01:17.455	95.158.13.xxx	N=7	B=SHOS000003	S=C9EC3F0350F9844ADDF4	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:18.515	91.123.154.xxx	N=8	B=YUSO000005	S=181EF9344E7CD3A4C020	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:19.028	146.0.80.xxx	N=9	B=BISA000007	S=AA12B01622B916142EEC	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:20.166	185.132.2.xxx	N=10	B=STLO000033	S=0C18ED9D637219CCA95A	V=10,11,17,18,25,26,27,35,36,37"
2025-01-07 09:01:20.548	127.0.0.xxx	N=11	B=BOLV000044	S=571CE0579C45CD881B0D	V=37
"2025-01-07 09:01:22.518	88.154.3.xxx	N=12	B=KOIS000031	S=2D4DF016FF4F366081AD	V=25,26,27,35,36,37"
"2025-01-07 09:01:24.504	37.52.98.xxx	N=13	B=HROV000035	S=F8CBB83020EB2263AEC9	V=7,37"
"2025-01-07 09:01:24.534	95.67.75.xxx	N=14	B=KONM000014	S=195203B04D70F046B552	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:26.937	109.227.75.xxx	N=15	B=SHOO000060	S=4916EFD9AB526BB92C29	V=7,37"
2025-01-07 09:01:29.691	88.154.30.xxx	N=16	B=SHOP000069	S=BFADB2574557FB205E97	V=37
"2025-01-07 09:01:29.860	193.161.14.xxx	N=17	B=TRKV000024	S=7E4814B1038F7B51FDEB	V=5,7,37"
"2025-01-07 09:01:30.523	82.117.246.xxx	N=18	B=ANTD000022	S=BEC44DE5C174F3A05B3F	V=7,36,37"
"2025-01-07 09:01:30.794	92.253.236.xxx	N=19	B=SHLS000016	S=CF673518CA41DAF9E7C0	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:32.111	178.214.192.xxx	N=20	B=SHSL000057	S=8EBA4685AD1665116094	V=2,7,23"
"2025-01-07 09:01:34.198	185.159.163.xxx	N=21	B=AHAA000071	S=51B90058DB74F31A7585	V=7,8,34,35,36,37"
"2025-01-07 09:01:34.232	176.38.35.xxx	N=22	B=OKBO000013	S=EC9CEC823E3E1DB28445	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:36.082	109.122.34.xxx	N=23	B=KYIM000037	S=FF7EE203D1C874B1DEC0	V=7,37"
"2025-01-07 09:01:37.020	127.0.0.xxx	N=24	B=PEMV000040	S=6E277F2C76805FAD429E	V=7,36,37"
2025-01-07 09:01:37.944	128.124.165.xxx	N=25	B=STHI000072	S=E16097A5612662DDCD23	V=37
"2025-01-07 09:01:38.808	46.133.143.xxx	N=26	B=TYVV000017	S=EE8CA1146E3DD6945102	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:39.215	212.90.62.xxx	N=27	B=MUOV000042	S=414382D71134FD9C32DA	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
2025-01-07 09:01:40.083	109.207.199.xxx	N=28	B=BESA000098	S=69330127F3FF17A5FC51	V=37
2025-01-07 09:01:41.214	217.196.163.xxx	N=29	B=HOLI000043	S=A36B0AC56B5DF777772A	V=37
2025-01-07 09:01:41.448	45.89.90.xxx	N=30	B=KAOS000055	S=E6385062D002E5335CCC	V=7
"2025-01-07 09:01:42.275	95.67.87.xxx	N=31	B=SIOO000062	S=627E9F86FC634CBEB325	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:42.466	188.190.88.xxx	N=32	B=BEYV000041	S=A53E0527CDB1BA7FED2D	V=10,11,17,18,25,26,27,35,36,37"
"2025-01-07 09:01:44.691	178.151.119.xxx	N=33	B=KOLV000011	S=1983AFD045246C9E3458	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:47.574	31.144.204.xxx	N=34	B=DRKS000064	S=B408A9EB4EAF1973805B	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:49.925	188.163.65.xxx	N=35	B=BALV000053	S=209D4746B56591B6A24D	V=10,11,17,18,25,26,27,32,35,36,37"
"2025-01-07 09:01:54.088	195.123.121.xxx	N=36	B=DERR000054	S=60866D91C75B55199F33	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:01:54.143	46.201.234.xxx	N=37	B=MEVS000101	S=5A9D9B7E233381EDDB09	V=1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
2025-01-07 09:01:54.406	92.253.236.xxx	N=38	B=LOBV000090	S=0B4FF5A27DA34483CE07	V=7
2025-01-07 09:01:54.795	185.143.147.xxx	N=39	B=FOVI000134	S=DB39BF2B5DD8A7E76586	V=34
"2025-01-07 09:01:56.312	95.109.169.xxx	N=40	B=VOYO000080	S=52B64A311E1263EBF600	V=7,8,14,18,22,23"
"2025-01-07 09:01:58.053	127.0.0.xxx	N=41	B=BABT000027	S=7D4CDD93D5D9F1BF73B4	V=1,2,3,7,8,24,35,36,37"
"2025-01-07 09:01:59.603	46.96.75.xxx	N=42	B=ANSH000018	S=ACAAD6D97E190A759846	V=1,2,3,5,7,8,22,23,24,31,32,33,38,39,40"
"2025-01-07 09:02:00.040	94.153.28.xxx	N=43	B=MOOP000029	S=AD6F286DB51BCBE24492	V=1,2,3,5,7,8,37"
"2025-01-07 09:02:01.522	193.186.9.xxx	N=44	B=PAYO000102	S=F06D7B854AD5EBA0DD79	V=4,7,23,31"
